1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,norm_air_quality
1336,2,7,2806,2,1.52,3.16,1,2412,1571,2,3,3,2,4,3,58,2,2,4,3,2,0,1,3,3,4,4,4.05,North America,Canada,whistler-canada,0.016348774
579,2,24,1068,2,2.75,3.75,2,1616,1070,3,2,3,2,3,4,46,3,1,3,3,2,0,1,3,3,4,4,4.25,Europe,France,grenoble-france,0.0626703
398,2,33,1159,1,0.52,1.72,3,862,534,1,1,3,2,1,1,5,2,3,1,3,2.317212678,1,0,2,3,1,4,3.78,Africa,Kenya,nairobi-kenya,0.08719346
186,2,170,915,1,0.37,1.28,3,536,291,1,1,2,2,1,4,2,1,1,1,2,1.080167019,0,0,1,1,1,4,3.88,Africa,Uganda,kampala-uganda,0.460490463
387,2,177,1251,1,0.51,1.54,1,809,493,3,1,3,2,1,1,1,1,2,1,2,1.364240293,1,0,2,2,1,4,3.58,Africa,Rwanda,kigali-rwanda,0.479564033
899,2,45,2166,2,2.47,4.47,1,2296,1437,4,1,2,2,4,3,24,3,4,2,3,3,1,1,3,4,4,4,4.16,Middle East,Israel,jerusalem-israel,0.119891008
196,2,23,915,2,0.28,1.35,3,568,311,1,1,3,2,1,2,6,1,2,1,3,2,1,0,2,3,4,4,3.91,Middle East,Egypt,cairo-egypt,0.059945504
239,2,6,1159,1.829654342,0.89,1.19,3,761,370,3,1,3,4,1,1,19,2,2,3,3,2,0,0,3,3,4,2,4.18,Europe,Bulgaria,bansko-bulgaria,0.013623978
281,2,21,1586,3,0.47,1.43,3,824,400,2,1,4,3,2,3,6,2,2,1,3,2,0,0,2,3,4,4,4.41,Asia,Philippines,davao-philippines,0.054495913
290,2,34,1830,1,0.44,0.88,3,861,368,2,1,4,3,3,2,19,3,2,2,3,1.758076501,0,0,2,3,4,4,3.95,Latin America,Mexico,puerto-vallarta-mexico,0.089918256
527,2,13,1769,1,0.44,1.36,3,1034,599,2,1,4,2,3,2,19,2,2,2,3,2.058252604,0,0,2,3,4,4,3.88,Latin America,Mexico,san-miguel-de-allende-mexico,0.032697548
1276,2,31,1403,2.275399105,1.26,2.92,2,1811,1439,3,1,4,3,3,2,23,2,2,3,3,3,0,0,2,3,4,4,3.55,Latin America,Panama,panama-city-panama,0.081743869
1090,2,9,3111,2,2.03,4.19,1,2593,1621,4,2,3,2,3,3,14,2,2,3,3,3,0,1,3,3,4,2,4.14,North America,United States,anchorage-ak-united-states,0.021798365
226,2,18,1220,2,0.4,0.84,3,668,306,2,1,3,3,1,1,24,1,3,1,3,2,0,0,2,3,4,4,4.46,Europe,Ukraine,lviv-ukraine,0.046321526
558,2,27,1708,1,1.77,2.4,2,1391,812,3,3,4,4,2,2,31,2,3,3,3,3,1,0,3,3,4,4,4.34,Europe,Lithuania,vilnius-lithuania,0.070844687
245,2,55,1342,3,0.44,1.52,3,918,401,2,2,4,3,1,1,13,1,2,1,3,1,0,0,3,2,4,2,4.18,Europe,Georgia,tbilisi-georgia,0.147138965
1190,2,14,2135,2,1.66,4.01,1,2219,1528,4,2,3,2,3,3,35,3,2,3,3,3,0,1,3,4,4,4,4.43,North America,United States,sacramento-ca-united-states,0.035422343
1000,2,14,2135,2,1.74,3.5,1,2023,1318,4,2,3,2,3,3,41,2,2,3,3,3,0,1,4,4,4,4,4.29,North America,United States,asheville-nc-united-states,0.035422343
313,2,189,1014.347418,3,0.5,3,3,1001.025844,525,2,1,2,2,2,1,7,1,1,2,2,1,0,0,3,2,3,1,3.68,Asia,China,xian-china,0.51226158
462,2,165,885,1.683297845,0.47,1.02,3,775,527,2,2,2,2,1,1,3,1,1,3,2,1.476454063,0,0,2,2,4,4,3.79,Asia,Mongolia,ulaanbaatar-mongolia,0.446866485
326,2,38,854,2,0.92,1.86,3,814,503,2,2,3,3,2,3,37,1,2,3,3,1,0,1,4,3,4,4,4.27,Europe,Poland,lodz-poland,0.100817439
350,4,64,1068,2,1.43,2.78,3,992,641,2.525840652,3,4,2,3,3,17,1,2,3,3,3,0,0,3,3,4,4,3.78,Latin America,Chile,santiago-chile,0.171662125
1010,2,55,2349,1.957983929,1.67,3.27,2,2082,1304,2,2,4,3,2.589022759,2.513878336,15,3,1,2,3,3,0,0,2,3,4,2,3.93,Latin America,Puerto Rico,san-juan-puerto-rico,0.147138965
558,2,21,3355,1.635856374,1.44,2.54,1,1850,815,1,3,2,2,3,2,23,1,1,3,3,1,0,0,2,3,3,1,3.35,Latin America,Uruguay,punta-del-este-uruguay,0.054495913
963,2,24,2166,1,2.79,3.47,1,2152,1329,3,4,3,3,4,4,45,4,3,4,3,3,0,1,4,3,4,4,4.43,Europe,Netherlands,groningen-netherlands,0.0626703
930,2,21,1678,2,1.67,4.99,2,2041,1456,2,2,2,1,3,3,38,4,1,3,3,3,0,1,2,4,4,4,4.24,North America,United States,st-louis-mo-united-states,0.054495913
361,2,64,1342,1,0.26,0.52,3,722,389,3,1,4,3,1,2,10,1,1,1,3,1.891957104,0,0,3,3,4,4,3.99,Asia,Sri Lanka,colombo-sri-lanka,0.171662125
727,3,13,1617,2,2.12,3.57,2,1717,1116,4,3,3,1,4,3,30,3,1,4,3,3,0,1,4,4,4,4,4.24,Oceania,Australia,cairns-australia,0.032697548
792,2,50,2440,2.065566899,0,2.39,2,1408,846,2,2,1,2,2.009698426,2,3,1,1,1,3,3,0,0,3,2,4,4,3.16,Oceania,Fiji,suva-fiji,0.133514986
521,2,61,1251,1,0.68,1.45,3,1010,650,1,1,4,3,2,3,6,1,4,2,3,1,1,0,3,3,3,4,3.85,Africa,Morocco,casablanca-morocco,0.163487738
407,2,50,1220,1,0.55,1.63,3,824,516,2,1,4,1,1.559831727,1,5,2,1,1,3,1,0,0,2,2,3,4,3.35,Asia,Laos,vientiane-laos,0.133514986
400,2,124,946,3,0.4,0.75,3,688,440,3,1,2,2,2,1,5,1,1,2,2,1,0,0,3,2,3,4,2.93,Asia,China,wuhan-china,0.335149864
610,2,18,2654,2,1.69,3.05,2,1816,966,4,3,3,2,4,3,40,2,3,4,3,4,0,1,4,3,4,4,4.15,Oceania,New Zealand,dunedin-new-zealand,0.046321526
452,2,45,763,3,1.02,3.85,3,972,773,3,2,3,3,2,3,33,1,2,3,3,2,0,1,4,3,4,1,4.48,Asia,South Korea,daegu-south-korea,0.119891008
617,2,50,1098,2.659150817,1.25,1.5,3,1068,718,2,1,4,4,2.303969875,3,1,2,3,2,3,2,0,0,3,2,4,1,3.02,Latin America,Cuba,havana-cuba,0.133514986
95,2,109,1342,1,0.08,0,3,413,187.5273776,1,1,2,1,1,1,3,1,1,1,2,1,1,0,2,2,3,1,3.51,Asia,India,rishikesh-india,0.294277929
179,2,33,1220,1.329391677,0.57,0.66,3,595,249,1,1,2,2,1,1,4,1,1,1,3,1.161001895,1,0,2,2,3,1,3.29,Africa,Ethiopia,addis-ababa-ethiopia,0.08719346
817,2,24,1464,1,2.58,3.41,1,1905,1229,3.488494553,4,3,2,4,4,42,2,2,4,3,3,0,1,4,4,4,4,4.23,Europe,Netherlands,nijmegen-netherlands,0.0626703
900,2,16,1464,2,1.54,3.48,2,1655,1145,3,2,4,3,3,3,60,3,2,3,3,3,0,1,2,4,4,4,4.24,North America,United States,kansas-city-mo-united-states,0.040871935
258,2,37,2623,3,0.49,1.23,3,1070,368,2,2,2,4,2,2,51,1,2,3,3,2,0,0,3,3,4,4,3.86,Europe,Romania,constanta-romania,0.098092643
811,2,12,2013,3,1.31,3.3,1,1997,1182,2,2,2,2,3,2,27,2,2,3,3,2,0,1,3,3,4,1,4.07,Europe,United Kingdom,cheltenham-united-kingdom,0.029972752
754,2,25,2074,1,2.22,2.43,1,1870,1074,3,2,2,3,2,4,14,2,3,3,3,1,0,1,3,3,4,4,4.41,Europe,Italy,pisa-italy,0.065395095
608,2,51,1312,2,0.92,2.59,3,1199,803,2,2,3,4,2,3,37,2,3,3,3,2,0,1,3,3,4,4,4.21,Europe,Poland,krakow-poland,0.136239782
800,2,16,1739,2,1.59,3.59,2,1770,1199,3,2,4,2,3,3,16,2,2,3,3,3,0,1,3,3,4,4,4.108303654,North America,United States,des-moines-ia-united-states,0.040871935
920,2,11,1647,2,1.67,3.66,2,1686,1095,3,2,4,1,3,3,19,3,1,3,3,3,0,1,3,3,4,4,4.33,North America,United States,tucson-az-united-states,0.027247956
272,2,50,885,1,0.7,1.82,3,614,402,2,1,3,3,1.851338653,1,12,1,2,1,3,2,0,0,2,3,3,4,3.99,Asia,Laos,luang-prabang-laos,0.133514986
551,2,50,1220,1.881756054,0.43,0.58,3,864,558,3,2,3,4,1,1.899213032,6,1,1,1,3,1.452277565,0,0,2,3,4,2,4.08,Asia,Myanmar,yangon-myanmar,0.133514986
357,2,27,1251,1,0.71,1.99,3,825,508,3,2,2,2,3,4,29,2,1,2,3,2,0,0,3,3,4,4,4.35,Asia,Taiwan,taichung-taiwan,0.070844687
282,2,82,1373,3,0.54,3.52,3,920,568,2,1,2,1,2,1,4,1,1,2,2,1,0,0,3,2,3,4,3.48,Asia,China,kunming-china,0.220708447
180,2,44,833.7131879,3,0.58,0,3,438,250,1.612515054,1,3,3,2,1,3,1,2,2,3,1,0,0,4,2,3,1,3.61,Asia,China,yangshuo-china,0.117166213
466,2,97,1525,3,0.41,0.75,3,916,506,3,1,2,2,2,1,6,1,2,2,2,1,0,0,3,2,3,4,3.57,Asia,China,suzhou-china,0.261580381
692,2,18,1890.563234,2,1.19,3.34,2,1611,1015,3,2,2,2,2,4,36,2,3,3,3,2,0,1,3,3,4,1,2.93,Asia,Japan,hiroshima-japan,0.046321526
311,3,7,1068,2.634914298,0.29,2.33,3,777,490,1,1,3,2,2,1,6,1,1,1,3,1.415446788,0,0,2,3,4,4,3.43,Europe,Azerbaijan,baku-azerbaijan,0.016348774
270,2,50,1037,1.686233832,0.54,1.61,3,745,410,3,2,3,2,1,1,5,1,3,2,3,2,0,0,3,3,4,4,4.3,Europe,Armenia,yerevan-armenia,0.133514986
449,2,34,1434,3,1.01,2.43,3,1253,714,3,3,2,2,2,1,30,2,2,3,3,2.155283273,0,0,3,3,4,4,4.33,Europe,Latvia,riga-latvia,0.089918256
472,2,14,1983,3,1.45,2.52,2,1440,768,4,3,4,3,2,2,30,3,3,3,3,3,0,0,3,4,4,4,4.25,Europe,Estonia,tallinn-estonia,0.035422343
714,2,28,3050,1,1.88,1.9,1,2019,1017,2,2,3,2,2,4,19,1,2,3,3,1,0,1,3,3,4,4,3.85,Europe,Italy,como-italy,0.073569482
898,2,5,6375,1,3.97,4.3,1,3467,1436,2,3,2,3,4,4,51,2,2,4,3,2,0,1,4,3,4,1,3.75,Europe,Switzerland,interlaken-switzerland,0.010899183
1462,2,27,1861,1,2.55,3.43,1,1891,1204,4,3,4,3,3,3,27,4,3,4,3,3,0,1,4,4,4,4,4.4,Europe,Germany,frankfurt-germany,0.070844687
300,2,50,976,2.042684403,0.44,0.49,3,656,346,2,1,4,2,1,1,4,2,2,2,3,1.702790953,0,0,2,2,3,4,4.3,Asia,Kyrgyzstan,bishkek-kyrgyzstan,0.133514986
698,2,24,2684,1,1.76,1.35,2,1865,936,4,2,3,3,2,4,25,2,2,3,3,1,0,1,3,4,4,4,4.38,Europe,Italy,trento-italy,0.0626703
745,3,35,2471,1,2.45,3.28,2,1679,1058,4,3,3,3,3,3,33,4,3,4,3,3,0,1,4,3,4,4,4.33,Europe,Germany,cologne-germany,0.092643052
792,2,18,1922,3,1.76,2.97,2,1777,1110,3,2,2,2,3,2,33,3,3,3,3,4,0,1,3,3,4,4,3.79,Europe,United Kingdom,belfast-united-kingdom,0.046321526
900,2,17,2288,2,2.15,3.84,1,2164,1334,4,3,3,3,3,4,31,2,3,4,3,4,0,1,4,4,4,4,4.21,Europe,Ireland,galway-ireland,0.04359673
400,2,50,1708,1.833039032,1,2.05,3,1120,578,2,1,2,4,3,2,19,3,3,3,3,3,0,0,1,3,4,2,4.14,Latin America,Panama,bocas-del-toro-panama,0.133514986
717,2,9,3386,1,2.35,2.85,1,2431,1123,2,4,2,1,4,4,55,3,1,4,3,2,0,1,4,3,4,1,3.98,Europe,Netherlands,deventer-netherlands,0.021798365
262,2,74,1220,1,1.04,1.46,3,795,422,2,1,2,2,2,2,14,1,2,2,3,1.503181217,0,0,3,3,4,4,3.93,Europe,Macedonia,skopje-macedonia,0.198910082
1040,2,16,1617,2,1.73,3.67,2,1741,1186,3,2,3,2,3,3,36,3,3,3,3,3,0,1,3,4,4,4,4.27,North America,United States,san-antonio-tx-united-states,0.040871935
675,2,9,3111,1,2.48,1.59,1,2262,1028,2,2,2,1,2,4,16,1,2,3,3,2,1,1,3,3,4,1,3.75,Europe,Italy,siena-italy,0.021798365
487,2,19,1129,2,2.08,3.12,2,1377,896,3,2,3,2,3,4,34,3,2,3,3,2,0,1,3,3,4,4,4.01,Europe,France,nantes-france,0.049046322
786,2,22,1434,3,2.64,2.97,2,1894,1171,3,2,4,4,3,2,24,2,3,3,3,4,0,1,3,3,4,4,4.02,Europe,United Kingdom,leeds-united-kingdom,0.057220708
792,2,21,1952,3,2.64,2.97,1,2027,1177,3,2,3,3,3,2,28,3,1,3,3,4,0,1,3,4,4,4,3.86,Europe,United Kingdom,southampton-united-kingdom,0.054495913
341,3,47,580,1.988843454,0.65,8,3,877,874,1,1,2,1,2,3,3,1,2,1,3,2,0,0,1,2,1,1,2.84,Latin America,Venezuela,caracas-venezuela,0.125340599
743,2,34,2867,1,2.33,3.17,1,2239,1175,2.471979653,2,3,2,2,4,22,1,2,3,3,1,0,1,3,4,4,4,4.28,Europe,Italy,verona-italy,0.089918256
175,2,28,610,1,0.5,1.21,3,560,306,2,1,4,2,3,2,20,2,2,2,3,1.867927991,0,0,2,3,4,4,4.17,Latin America,Mexico,hermosillo-mexico,0.073569482
248,2,19,1464,2,1,2,3,970,488,2,2,3,2,1,1,4,3,1,2,3,2,0,0,1,3,1,4,3.87,Africa,South Africa,port-elizabeth-south-africa,0.049046322
467,2,56,854,1.909527269,0.56,1.11,3,792,551,1,1,3,2,3,2,5,1,1,1,3,2,0,0,1,2,4,2,3.56,Latin America,Guatemala,guatemala-city-guatemala,0.14986376
598,2,89,2501,1.395544084,1.33,2.16,2,1585,845,2,2,2,3,2,2,10,1,1,2,3,1.474103702,0,0,1,2,3,1,3.85,Latin America,Belize,caye-caulker-belize,0.239782016
541,2,91,3142,1.455028727,0.66,1.33,2,1484,652,2,2,3,4,2,2,9,1,1,2,3,1.806770958,0,0,1,2,3,2,3.7,Latin America,Belize,san-pedro-belize,0.245231608
247,2,50,824,1.682977806,0.56,1.3,3,618,357,1,2,1,1,1,1,1,1,1,1,3,2,0,0,3,2,3,4,3.32,Africa,Madagascar,antananarivo-madagascar,0.133514986
431,2,8,1312,3,0,0,3,779,393,2,1,3,2,3,1,18,1,2,1,3,2,0,0,2,3,1,4,3.7,Asia,Thailand,ko-chang-thailand,0.019073569
533,2,49,2044,1,1.14,1.99,2,1323,711,2,3,2,2,4,3,8,1,1,3,3,3,1,0,2,2,4,4,3.46,Latin America,Costa Rica,tamarindo-costa-rica,0.130790191
594,2,36,1098,2,1.13,1.98,3,1100,758,2,2,3,3,2,3,33,2,2,3,3,2,0,1,3,3,4,4,3.9,Europe,Poland,wroclaw-poland,0.095367847
420,2,27,1281,1,1.5,1.95,3,1077,631,3,3,2,2,2,2,19,1,2,3,3,3,1,0,2,3,4,4,4.28,Europe,Lithuania,kaunas-lithuania,0.070844687
1320,2,21,2623,3,2.64,2.97,1,2427,1591,4,2,4,3,3,2,31,4,3,3,3,4,0,1,3,4,4,4,4.41,Europe,United Kingdom,oxford-united-kingdom,0.054495913
622,2,35,1190,2,0.95,3.1,3,1251,918,3,2,2,3,2,4,46,2,2,3,3,2,0,1,4,3,4,1,3.97,Asia,Japan,fukuoka-japan,0.092643052
660,2,18,1342,3,2.64,3.3,2,1783,1085,3,2,3,2,3,2,23,2,2,3,3,2,0,1,4,3,4,4,4.07,Europe,United Kingdom,sheffield-united-kingdom,0.046321526
1111,2,5,2013,2,1.48,1.85,2,1918,1286,3,3,4,2,4,3,17,3,2,4,3,3,0,1,3,3,4,2,2.86,Oceania,Australia,gold-coast-australia,0.010899183
901,2,21,2684,1,2.73,3.51,1,2386,1333,4,4,4,3,4,4,72,4,2,4,3,3,0,1,4,4,4,4,4.14,Europe,Netherlands,leiden-netherlands,0.054495913
1313,2,18,2257,1,3.06,3.5,1,2419,1664,4,4,4,3,4,4,63,4,2,4,3,3,0,1,4,3,4,4,4.14,Europe,Netherlands,the-hague-netherlands,0.046321526
227,2,50,1053.026804,1,1.25,4,3,897,633,2,1,2,2,1.447360147,1,1,1,1,1,3,1,1,0,2,2,4,1,2.95,Asia,North Korea,pyongyang-north-korea,0.133514986
691,2,19,1220,2,2.88,2.82,2,1599,1064,4,2,3,3,3,4,27,3,3,3,3,2,0,1,3,4,4,4,4.36,Europe,France,toulouse-france,0.049046322
394,2,77,1114.713317,1.947467765,0.46,1.85,2,872,555,1,1,3,2,1,2,11,1,1,1,3,2,1,0,2,2,1,4,3.36,Middle East,Iran,tehran-iran,0.207084469
122,2,158,1159,1.819817243,0.28,1.77,3,652,317,2,1,3,1,1,2,4,1,1,1,2,2,1,0,2,2,4,2,2.7,Asia,Bangladesh,dhaka-bangladesh,0.427792916
573,2,27,1220,1,1.32,2.42,3,1220,832,1,3,2,2,4,3,7,2,3,3,3,2,1,0,1,3,4,4,4.29,Latin America,Costa Rica,san-jose-costa-rica,0.070844687
825,2,33,3599,2,2,4,1,2258,1213,3,2,4,2,3,3,16,2,1,3,3,3,0,1,3,3,4,2,4.2,North America,United States,park-city-ut-united-states,0.08719346
829,2,20,1403,1,2.66,3.12,2,1800,1173,2,3,2,2,3,3,32,1,2,4,3,2,0,1,4,3,4,2,3.91,Europe,Germany,heidelberg-germany,0.051771117
623,2,141,1007,1.956443394,0.83,2.05,3,1162,804,1,2,4,4,1,3,4,1,1,1,2,1.002249189,0,0,2,2,1,1,3.41,Africa,Senegal,dakar-senegal,0.38147139
394,2,85,1495,2,1,2,3,1089,612,1,2,3,2,1,1,3,2,1,2,2,2,0,0,1,2,1,4,3.67,Africa,South Africa,johannesburg-south-africa,0.228882834
906,2,9,3508,1,2.55,3.03,1,2595,1320,3,4,3,3,4,4,28,4,2,4,3,2,0,1,4,3,4,4,4.17,Europe,Netherlands,haarlem-netherlands,0.021798365
525,2,50,1464,3,1.75,1.17,2,1284,688,3,3,3,4,3,4,50,3,1,3,3,2,0,1,4,2,4,4,3.79,Europe,Spain,corralejo-canary-islands-spain,0.133514986
626,2,31,3904,1,2.85,1.94,1,2448,1004,2,2,3,2,2,4,20,1,2,3,3,2,1,1,3,3,4,1,3.81,Europe,Italy,rimini-italy,0.081743869
586,2,29,1586,2,2.18,2.18,2,1664,963,3,2,3,2,3,4,20,3,3,3,3,2,0,1,2,3,4,4,4.4,Europe,France,marseille-france,0.076294278
1994,2,15,3172,2,1.94,4.44,1,3138,2167,2,2,2,3,3,3,18,3,3,3,3,2,0,1,3,3,4,1,4.16,North America,United States,santa-barbara-ca-united-states,0.038147139
318,2,50,1403,1,0.18,1.58,3,738,411,1,1,2,2,2,3,6,1,2,2,3,1,1,0,3,2,3,2,4.06,Africa,Morocco,el-jadida-morocco,0.133514986
569,2,13,1708,1,0.05,0,3,945,503,2.056132673,1,2.608551416,1.898794,2,3,10,1.708264821,0.89046101,2,3,1.704468808,0,0,2,2,3,4,4.13,Africa,Morocco,essaouira-morocco,0.032697548
380,2,50,1373,1,0.74,1.16,3,920,518,1,1,2,2,2,3,9,1,2,2,3,1,1,0,2,2,3,4,3.59,Africa,Morocco,agadir-morocco,0.133514986
1146,2,18,2989,2,1.78,3.72,1,2317,1451,4,2,3,2,3,3,23,3,2,3,3,3,0,1,3,4,4,4,4.44,North America,United States,ann-arbor-mi-united-states,0.046321526
403,2,55,1068,1.694791819,0.99,2.35,3,1051,662,2,2,3,4,2,3,9,1,2,2,3,3,0,0,1,2,1,4,3.49,Latin America,Dominican Republic,santo-domingo-dominican-republic,0.147138965
646,2,18,1312,1,2.6,1.75,1,1798,1042,2,2,3,3,2,4,27,1,2,3,3,2,0,1,3,3,4,4,4.019301689,Europe,Italy,turin-italy,0.046321526
233,2,106,1007,3,0.45,0.98,3,574,305,3,1,2,2,2,1,8,2,2,2,2,1,0,0,3,2,3,4,4.2,Asia,China,chongqing-china,0.286103542
225,2,83,1617,3,0.59,0,3,759,293,2,1,1,1,2,1,3,1,1,2,2,1,0,0,3,2,3,1,3.46,Asia,China,guilin-china,0.223433243
181,2,58,793,1,0.72,1.71,3,655,376,2,1,3,2,3,2,16,2,1,2,3,1.445674583,0,0,2,3,4,4,4.1,Latin America,Mexico,merida-mexico,0.155313351
496,2,40,1342,2,0.92,2.2,3,1127,671,1,3,2,2.169175661,3,3,11,1,2,3,3,2,1,0,3,2,4,4,3.34,Latin America,Chile,la-serena-chile,0.10626703
683,2,22,1373,2,2.53,3.85,1,1801,1170,4,2,3,4,3,4,52,3,3,3,3,2,0,1,3,3,4,4,4.27,Europe,France,lille-france,0.057220708
467,2,35,2959,1.644044952,1.55,1.92,2,1552,681,1,1,2,2,2,2.390443412,17,1,1,3,3,1.775147424,0,0,3,3,4,4,3.2,Europe,Montenegro,budva-montenegro,0.092643052
553,2,29,1861,1,2.96,2.06,1,1991,990,2,2,2,2.522606855,2,4,9,1,2,3,3,2,1,1,3,3,4,1,3.81,Europe,Italy,ferrara-italy,0.076294278
295,2,30,732,2,0.88,1.89,3,731,482,1,1,2,2,3,1,9,2,2,2,3,2,1,0,1,3,1,4,3.6,Latin America,Brazil,vitoria-brazil,0.079019074
554,2,27,1556,1,2.48,3.5,2,1467,929,4,3,3,2,3,3,33,3,3,4,3,3,0,1,4,3,4,4,4.14,Europe,Germany,dresden-germany,0.070844687
285,2,77,915,1.418410483,0.61,1.89,3,725,452,1,2,3,2,2,1,2,1,3,2,3,2.049398317,0,0,1,2,1,2,4.07,Latin America,El Salvador,san-salvador-el-salvador,0.207084469
1113,3,8,1708,3,0.85,1.7,2,1613,1181,2,1,2,4,2,1,11,1,2,2,3,1.96570701,0,0,3,3,3,4,3.76,Asia,China,macau-china,0.019073569
269,2,45,1129,2,0.69,1.22,3,740,392,2,2,3,2,2,3,33,2,2,3,3,1,0,1,3,3,4,4,3.9,Europe,Poland,katowice-poland,0.119891008
688,2,20,1342,2,2.77,3,1,1689,1092,2,2,2,2,3,4,28,3,2,3,3,2,0,1,3,4,4,2,4.03,Europe,France,montpellier-france,0.051771117
583,2,25,1373,1,1.88,3.15,2,1452,935,4,3,4,2,3,4,30,3,2,4,3,2,0,1,4,4,4,4,3.92,Europe,Austria,graz-austria,0.065395095
521,3,10,1159,3,0.8,2.06,3,929,659,1,1,4,3,3,1,17,4,3,1,3,1,0,0,2,3,1,4,4.04,Asia,Thailand,pattaya-thailand,0.024523161
291,2,24,610,2,0.86,1.44,3,695,453,2,1,3,3,3,1,15,2,2,2,3,3,0,0,1,3,1,4,3.95,Latin America,Brazil,curitiba-brazil,0.0626703
920,2,18,2532,2,1.64,3.52,2,2169,1341,4,2,3,2,3,3,36,2,3,3,3,3,0,1,3,4,4,4,4.3,North America,United States,grand-rapids-mi-united-states,0.046321526
750,3,6,1738.486818,2,1.67,3.33,3,1821,1099,3,2,4,3,3,3,58,2,1,3,3,3,0,1,4,3,4,1,3.81,North America,United States,black-rock-city-nv-united-states,0.013623978
144,2,51,1159,1.962626886,0.51,1.46,3,635,297,2,1,4,4,2,1,11,2,3,1,3,2,1,0,3,3,4,4,4.44,Europe,Turkey,antalya-turkey,0.136239782
468,2,50,824,3,0.55,1.09,3,786,549,2,1,4,4,2,3,18,1,2,1,3,1,0,0,2,3,4,1,3.1,Asia,Philippines,palawan-philippines,0.133514986
217,2,21,1068,1,0.59,0.62,3,593,299,1,1,3,3,3,3,8,2,1,2,3,1.448670504,0,0,3,3,1,4,3.79,Asia,Malaysia,kota-kinabalu-malaysia,0.054495913
800,2,19,1647,2,1.64,3.46,2,1799,1188,2,2,2,2,3,3,15,2,3,3,3,3,0,1,3,3,4,4,4.15,North America,United States,cleveland-oh-united-states,0.049046322
1140,3,15,1830,2,1.46,3.53,2,1736,1092,3,2,2,2,3,3,34,2,1,3,3,3,0,1,3,3,4,4,3.76,North America,United States,reno-nv-united-states,0.038147139
400,2,368,1617,1.912556459,0.73,1.33,3,960,500,1,1,2,1,3,3,14,1,2,2,1,1,1,0,2,1,1,4,3.31,Middle East,Saudi Arabia,riyadh-saudi-arabia,1
930,2,13,1586,2,1.74,3.51,2,1836,1259,3,2,3,2,3,3,44,3,2,3,3,3,0,1,3,4,4,4,3.59,North America,United States,rochester-ny-united-states,0.032697548
782,2,12,1617,2,1.49,3.33,2,1717,1119,4,3,3,2,4,3,38,2,1,4,3,4,0,1,3,3,4,4,4.22,North America,Canada,halifax-canada,0.029972752
830,2,21,1586,2,1.44,2.9,2,1586,1052,4,2,3,2,3,3,17,3,2,3,3,3,0,1,3,4,4,4,4.35,North America,United States,louisville-ky-united-states,0.054495913
827,2,16,1281,2,1.58,2.74,2,1573,1100,4,3,4,2,4,3,38,4,1,4,3,4,0,1,3,4,4,4,3.94,North America,Canada,saskatoon-canada,0.040871935
760,2,25,1373,2,1.53,3.12,1,1597,1088,3.35520069,3,3,2,4,3,16,4,2,4,3,4,0,1,3,4,4,4,4.19,North America,Canada,regina-canada,0.065395095
808,2,11,1434,2,1.52,2.63,2,1638,1094,4,3,4,2,4,3,38,2,1,4,3,4,0,1,3,4,4,4,4.24,North America,Canada,ottawa-canada,0.027247956
1107,2,23,2501,1,2.7,4.08,1,2519,1551,4,4,3,2,4,4,55,4,2,4,3,3,0,1,4,4,4,4,4.22,Europe,Netherlands,eindhoven-netherlands,0.059945504
1383,2,11,4148,3,0.45,0.75,3,2125,1235,2,1,3,2,3,1,33,1,2,1,3,2,0,0,2,3,1,4,3.57,Asia,Thailand,ko-lipe-thailand,0.027247956
568,2,29,2593,1,2.33,1.53,1,2032,918,2,2,2,2,2,4,28,1,2,3,3,2,1,1,3,3,4,1,3.87,Europe,Italy,lucca-italy,0.076294278
767,2,20,2501,3,0.71,1.83,3,1542,909,1,1,4,4,2.122670165,1,3,1,1,2,3,1.735774554,0,0,3,2,4,4,2.88,Asia,Maldives,male-maldives,0.051771117
1000,2,14,2196,2,2.15,4.44,1,2157,1409,4,2,4,3,3,3,12,3,2,3,3,3,0,1,4,3,4,4,4.07,Oceania,United States,hilo-hawaii-united-states,0.035422343
190,2,77,610,1.684451807,0.57,1.26,3,553,337,1,1,2,1,2,1,12,1,1,1,3,1,1,0,3,3,4,4,3.63,Europe,Turkey,ankara-turkey,0.207084469
277,2,171,1586,3,0.41,0.75,3,742,332,2,1,2,2,2,1,4,2,2,2,2,1,0,0,3,2,3,1,3.15,Asia,China,zhengzhou-china,0.463215259
141,2,24,1312,1,0.69,1.38,3,773,308,2,1,4,2,3,3,9,2,1,1,3,1,0,0,1,3,3,1,3.83,Latin America,Colombia,salento-colombia,0.0626703
487,2,50,5216,3,1.22,2.52,2,2183,775,2,1,2,1,2,1,18,1,2,1,3,1,0,0,1,3,4,4,3.15,Asia,Russia,vladivostok-russia,0.133514986
